application_id,citizen_name,address,district,verified
GM-2026-000125,Ramesh Patil,Plot 12 Gram Panchayat Road,,true
GM-2026-000126,Sunita Deshmukh,Main Bazaar Road Village Sinnar,Nashik,true
GM-2026-000127,Anil Kulkarni,House 45 Near Zilla Parishad School,Nagpur,true
GM-2026-000128,INVALID_APP_ID_999,Subhash Nagar Post Office,Kolhapur,true
GM-2026-000129,Priya Shinde,Shivaji Chowk Village Baramati,Pune,true
GM-2026-000130,Vikram Pawar,Station Road Village Karad,Satara,true
GM-2026-000131,Asha More,Gram Sabha Galli,Chhatrapati Sambhajinagar,true
GM-2026-000132,Prakash Jadhav,Old Fort Road Village Wai,Satara,true
GM-2026-000132,Prakash Jadhav,Old Fort Road Village Wai,Satara,true
GM-2026-000133,Sanjay Joshi,Taluka Panchayat Marg,Amravati,true
GM-2026-000134,Meena Chavan,Zilla Parishad Colony,Nanded,true
GM-2026-000135,Ganesh Gaikwad,Temple Street Village Rahuri,Ahilyanagar,true
GM-2026-000136,Kavita Bhosale,Main Market Yard,Solapur,true
GM-2026-000137,Vijay Sawant,Panchayat Samiti Office Lane,Ratnagiri,true
GM-2026-000138,Rekha Kamble,Bhim Nagar Ward 2,Sangli,true
GM-2026-000139,Mahesh Wagh,Primary Health Centre Road,Jalgaon,true
GM-2026-000140,Savita Naik,Mahatma Gandhi Marg,Sindhudurg,true
GM-2026-000141,Rahul Thorat,Krishi Seva Kendra Chowk,Latur,true
GM-2026-000142,Pooja Mane,Anganwadi Lane Village Daund,Pune,true
GM-2026-000143,Deepak Shelke,Talathi Office Road,Osmanabad,true
GM-2026-000144,Archana Mule,Panchayat Ghar Ward 1,Parbhani,true
GM-2026-000145,Suresh Jagtap,High School Marg,Beed,true
GM-2026-000146,Nisha Solanke,Bypass Road Village Yeola,Nashik,true
GM-2026-000147,Amit Kadam,Sugar Factory Colony,Kolhapur,true
GM-2026-000148,Varsha Gavit,Adivasi Ashram Shala Road,Nandurbar,true
GM-2026-000149,Nitin Mohite,Veterinary Hospital Lane,Satara,true
GM-2026-000150,Kiran Raut,Gram Vikas Bhavan Road,Nagpur,true
GM-2026-000151,Swati Phadke,Milk Dairy Chowk,Pune,true
GM-2026-000152,Sachin Ingale,Nadi Kinara Village Shirur,Pune,true
GM-2026-000153,Bharti Khare,Bus Stand Marg,Buldhana,true
GM-2026-000154,Ashok Lokhande,Panchayat Office Lane,Washim,true
GM-2026-000155,Lata Dhage,Fort View Ward 3,Chhatrapati Sambhajinagar,true
GM-2026-000156,Rajesh Salunkhe,Weekly Market Ground,Solapur,true
GM-2026-000157,Sharmila Pande,River Bank Colony,Gondia,true
GM-2026-000158,Manoj Landge,Water Tank Road,Bhandara,true
GM-2026-000159,Sujata Mahajan,Krishi Vigyan Kendra Road,Jalna,true
GM-2026-000160,Rohan Bangar,Post Office Chowk,Hingoli,true
GM-2026-000161,Anita Thakare,Forest Office Road,Gadchiroli,true
GM-2026-000162,Dnyaneshwar Mhatre,Coastal Road Village Alibag,Raigad,true
GM-2026-000163,Manjusha Sanap,Gram Panchayat Complex,Ahilyanagar,true
GM-2026-000164,Vikas Gore,Taluka Hospital Marg,Akola,true
GM-2026-000165,Seema Narwade,School Field Road,Yavatmal,true
